beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
swarming	Harry watched, careful not to blink in case he missed it — but just as the boy reached the dividing barrier between the two platforms, a large crowd of tourists came swarming in front of him and by the time the last backpack had cleared away, the boy had vanished.“Fred, you next,” the plump woman said.“I’m not Fred, I’m George,” said the boy.	{'', 'swarming', '[医] 丛集的(菌)', 'v be teeming, be abuzz\nv move in large numbers'}
tuft	Under a tuft of jetblack hair over his forehead they could see a curiously shaped cut, like a bolt of lightning.“Is that where —?” whispered Professor McGonagall.“Yes,” said Dumbledore.	{'n. a bunch of hair or feathers or growing grass\nn. a bunch of feathers or hair', 'n. 一簇, 矮树丛\nvi. 丛生\nvt. 用丛毛装饰', 'tʌft', 'tuft'}
forehead	Under a tuft of jetblack hair over his forehead they could see a curiously shaped cut, like a bolt of lightning.“Is that where —?” whispered Professor McGonagall.“Yes,” said Dumbledore.	"{'n the part of the face above the eyes\nn the large cranial bone forming the front part of the cranium: includes the upper part of the orbits', 'n. 额, 前额, 前部\n[医] 额', 'forehead', ""'fɒ:rid""}"
curiously	Under a tuft of jetblack hair over his forehead they could see a curiously shaped cut, like a bolt of lightning.“Is that where —?” whispered Professor McGonagall.“Yes,” said Dumbledore.	"{'adv. 好奇地', 'r. in a manner differing from the usual or expected\nr. with curiosity', 'curiously', ""'kjuәriәsli""}"
whispered	Under a tuft of jetblack hair over his forehead they could see a curiously shaped cut, like a bolt of lightning.“Is that where —?” whispered Professor McGonagall.“Yes,” said Dumbledore.	"{'a. <医>耳语的, 低语的\nv. 低声说( whisper的过去式和过去分词 ); 私语; 小声说; 私下说', 'whispered', 's. spoken in soft hushed tones without vibrations of the vocal cords', ""'wɪspəd""}"
scar	“He’ll have that scar forever.”“Couldn’t you do something about it, Dumbledore?”“Even if I could, I wouldn’t.	{'n. 疤痕, 伤痕, 悬崖\nvi. 结疤, 愈合, 痊愈\nvt. 使有伤痕', 'n. a mark left (usually on the skin) by the healing of injured tissue\nv. mark with a scar', 'skɑ:', 'scar'}
shaggy	He bent his great, shaggy head over Harry and gave him what must have been a very scratchy, whiskery kiss.	"{""'ʃægi"", 's used of hair; thick and poorly groomed\ns having a very rough nap or covered with hanging shags', 'shaggy', 'a. 毛发蓬乱的, 粗浓的, 草木丛生的'}"
scratchy	He bent his great, shaggy head over Harry and gave him what must have been a very scratchy, whiskery kiss.	"{'scratchy', 's causing abrasion\ns easily irritated or annoyed\ns lacking consistency\ns unpleasantly harsh or grating in sound', 'a. 潦草的, 刺痛的, 发痒的, 凑合的, 发擦刮声的, 乖戾的', ""'skrætʃi""}"
whiskery	He bent his great, shaggy head over Harry and gave him what must have been a very scratchy, whiskery kiss.	{'', 'whiskery', 's having hair on the cheeks and chin', 'a. 有连鬓胡子的, 有须的'}
howl	Then, suddenly, Hagrid let out a howl like a wounded dog.“Shhh!” hissed Professor McGonagall, “You’ll wake the Muggles!”“Sssorry,” sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it.	{'howl', 'haul', 'n. 嗥叫, 吠声, 号叫\nvi. 狂吠, 咆哮, 呼啸\nvt. 对...吼叫, 狂喊着说', 'n. a long loud emotional utterance\nn. the long plaintive cry of a hound or a wolf\nn. a loud sustained noise resembling the cry of a hound\nv. emit long loud cries'}
wounded	Then, suddenly, Hagrid let out a howl like a wounded dog.“Shhh!” hissed Professor McGonagall, “You’ll wake the Muggles!”“Sssorry,” sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it.	{'wounded', '', 'a. 受伤的\n[法] 受伤者; 受伤的, 受了损害的', 'n. people who are wounded'}
shah	[]	{'n. title for the former hereditary monarch of Iran', 'ʃɑ:', 'n. 沙(伊朗国王的称号)', 'shah'}
burying	Then, suddenly, Hagrid let out a howl like a wounded dog.“Shhh!” hissed Professor McGonagall, “You’ll wake the Muggles!”“Sssorry,” sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it.	"{'burying', 'n. 葬礼, 埋葬', 'n. concealing something under the ground', ""'beriiŋ""}"
lily	[]	"{'n. 百合, 百合花\na. 洁白的, 纯白色的, 纯洁的', ""'lili"", 'n. any liliaceous plant of the genus Lilium having showy pendulous flowers', 'lily'}"
gingerly	“But I cccan’t stand it —Lily an’ James dead — an’ poor little Harry off ter live with Muggles —”“Yes, yes, it’s all very sad, but get a grip on yourself, Hagrid, or we’ll be found,” Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door.	"{'adv. 小心翼翼地, 慎重地\na. 慎重的, 谨慎的', 'gingerly', 's. with extreme care or delicacy\nr. in a gingerly manner', ""'dʒindʒәli""}"
stepped	“But I cccan’t stand it —Lily an’ James dead — an’ poor little Harry off ter live with Muggles —”“Yes, yes, it’s all very sad, but get a grip on yourself, Hagrid, or we’ll be found,” Professor McGonagall whispered, patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door.	"{'stept', 'v. 踏；行走（step的过去式和过去分词）', ""v shift or move by taking a step\nv put down or press the foot, place the foot\nv cause (a computer) to execute a single command\nv treat badly\nv furnish with steps\nv move with one's feet in a specific manner\nv walk a short distance to a specified place or in a specified manner\nv place (a ship's mast) in its step\nv measure (distances) by pacing\nv move or proceed as if by steps into a new situation"", 'stepped'}"
doorstep	He laid Harry gently on the doorstep, took a letter out of his cloak, tucked it inside Harry’s blankets, and then came back to the other two.	"{'n. 门阶', ""'dɒ:step"", 'n the sill of a door; a horizontal piece of wood or stone that forms the bottom of a doorway and offers support when passing through a doorway', 'doorstep'}"
shook	For a full minute the three of them stood and looked at the little bundle; Hagrid’s shoulders shook, Professor McGonagall blinked furiously, and the twinkling light that usually shone from Dumbledore’s eyes seemed to have gone out.“Well,” said Dumbledore finally, “that’s that.	{'ʃuk', 'shook', 'shake的过去式', 'n. a disassembled barrel; the parts packed for storage or shipment'}
furiously	For a full minute the three of them stood and looked at the little bundle; Hagrid’s shoulders shook, Professor McGonagall blinked furiously, and the twinkling light that usually shone from Dumbledore’s eyes seemed to have gone out.“Well,” said Dumbledore finally, “that’s that.	{'', 'adv. 狂暴地；猛烈地', 'furiously', 'r. (of the elements) in a wild and stormy manner\nr. in a manner marked by extreme or violent energy\nr. in an impassioned or very angry manner'}
twinkling	For a full minute the three of them stood and looked at the little bundle; Hagrid’s shoulders shook, Professor McGonagall blinked furiously, and the twinkling light that usually shone from Dumbledore’s eyes seemed to have gone out.“Well,” said Dumbledore finally, “that’s that.	"{""'twiŋkliŋ"", 's. shining intermittently with a sparkling light', 'a. 闪烁的, 闪亮的, 闪光的\nn. 闪烁, 瞬间', 'twinkling'}"
shone	For a full minute the three of them stood and looked at the little bundle; Hagrid’s shoulders shook, Professor McGonagall blinked furiously, and the twinkling light that usually shone from Dumbledore’s eyes seemed to have gone out.“Well,” said Dumbledore finally, “that’s that.	{'v be bright by reflecting or casting light\nv emit light; be bright, as of the sun or a light\nv be shiny, as if wet\nv be distinguished or eminent\nv be clear and obvious\nv have a complexion with a strong bright color, such as red or pink\nv throw or flash the light of (a lamp)\nv touch or seem as if touching visually or audibly\nv experience a feeling of well-being or happiness, as from good health or an intense emotion\nv make (a surface) shine', 'shone', 'ʃɔn', 'shine的过去式和过去分词'}
muffled	We may as well go and join the celebrations.”“Yeah,” said Hagrid in a very muffled voice, “I’ll be takin’ Sirius his bike back.	{'', 'a. 听不清的；蒙住的', 'muffled', 's. wrapped up especially for protection or secrecy'}
takin	Then, suddenly, Hagrid let out a howl like a wounded dog.“Shhh!” hissed Professor McGonagall, “You’ll wake the Muggles!”“Sssorry,” sobbed Hagrid, taking out a large, spotted handkerchief and burying his face in it.	"{'takin', 'n. large heavily built goat antelope of eastern Himalayan area', 'n. 扭角羚；羚牛', ""'tɑ:ki:n. -kin. 'tei-""}"
swung	G’night, Professor McGonagall — Professor Dumbledore, sir.”Wiping his streaming eyes on his jacket sleeve, Hagrid swung himself onto the motorcycle and kicked the engine into life; with a roar it rose into the air and off into the night.“I shall see you soon, I expect, Professor McGonagall,” said Dumbledore, nodding to her.	"{""v move in a curve or arc, usually with the intent of hitting\nv move or walk in a swinging or swaying manner\nv change direction with a swinging motion; turn\nv influence decisively\nv make a big sweeping gesture or movement\nv hang freely\nv hit or aim at with a sweeping arm movement\nv alternate dramatically between high and low values\nv live in a lively, modern, and relaxed style\nv have a certain musical rhythm\nv be a social swinger; socialize a lot\nv play with a subtle and intuitively felt sense of rhythm\nv engage freely in promiscuous sex, often with the husband or wife of one's friends"", 'swing的过去式和过去分词', 'swʌŋ', 'swung'}"
nodding	G’night, Professor McGonagall — Professor Dumbledore, sir.”Wiping his streaming eyes on his jacket sleeve, Hagrid swung himself onto the motorcycle and kicked the engine into life; with a roar it rose into the air and off into the night.“I shall see you soon, I expect, Professor McGonagall,” said Dumbledore, nodding to her.	"{'a. 点头的, 低垂的；昏昏欲睡的', ""'nɔdiŋ"", 'v express or signify by nodding\nv lower and raise the head, as to indicate assent or agreement or confirmation\nv let the head fall forward through drowsiness\nv sway gently back and forth, as in a nodding motion\nv be almost asleep\ns having branches or flower heads that bend downward', 'nodding'}"
slinking	He clicked it once, and twelve balls of light sped back to their street lamps so that Privet Drive glowed suddenly orange and he could make out a tabby cat slinking around the corner at the other end of the street.	{'slinking', 'slɪŋkɪŋ', 'p. pr. & vb. n. of Slink', 'v. 偷偷溜走( slink的现在分词 ); 早产'}
swish	He turned on his heel and with a swish of his cloak, he was gone.A breeze ruffled the neat hedges of Privet Drive, which lay silent and tidy under the inky sky, the very last place you would expect astonishing things to happen.	{'swiʃ', 'swish', 'n. a brushing or rustling sound', 'n. 嗖嗖声\nvi. 发嗖嗖声, 嗖地挥动\nvt. 嗖地挥动\na. 漂亮的, 时髦的'}
breeze	He turned on his heel and with a swish of his cloak, he was gone.A breeze ruffled the neat hedges of Privet Drive, which lay silent and tidy under the inky sky, the very last place you would expect astonishing things to happen.	{'bri:z', 'breeze', 'n. 微风, 煤屑, 轻而易举的事\nvi. 吹微风, 逃走', 'n. a slight wind (usually refreshing)\nv. blow gently and lightly\nv. to proceed quickly and easily'}
neat	“We may never know.”Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles.	{'a. 整洁的, 巧妙的, 匀称的, 简洁的\nn. 牛', 'ni:t', 's. clean or organized\ns. showing care in execution\ns. free from what is tawdry or unbecoming\ns. without water', 'neat'}
tidy	He turned on his heel and with a swish of his cloak, he was gone.A breeze ruffled the neat hedges of Privet Drive, which lay silent and tidy under the inky sky, the very last place you would expect astonishing things to happen.	"{""'taidi"", 'tidy', 'n. 椅子的背罩, 装杂物的容器\na. 整齐的, 有条理的\nvt. 弄整齐, 收拾, 整理\nvi. 整理, 收拾', 'n. receptacle that holds odds and ends (as sewing materials)\nv. put (things or places) in order\na. marked by order and cleanliness in appearance or habits'}"
inky	He turned on his heel and with a swish of his cloak, he was gone.A breeze ruffled the neat hedges of Privet Drive, which lay silent and tidy under the inky sky, the very last place you would expect astonishing things to happen.	"{'s of the color of black ink', ""'iŋki"", 'a. 墨水的, 给墨水弄污的, 漆黑的', 'inky'}"
astonishing	He turned on his heel and with a swish of his cloak, he was gone.A breeze ruffled the neat hedges of Privet Drive, which lay silent and tidy under the inky sky, the very last place you would expect astonishing things to happen.	"{'a. 令人惊讶的', ""ә'stɒniʃiŋ"", 'astonishing', 's. so surprisingly impressive as to stun or overwhelm'}"
waking	Harry Potter rolled over inside his blankets without waking up.	{'', 'a. 醒着的', 'n. the state of remaining awake\ns. marked by full consciousness or alertness', 'waking'}
slept	One small hand closed on the letter beside him and he slept on, not knowing he was special, not knowing he was famous, not knowing he would be woken in a few hours’ time by Mrs. Dursley’s scream as she opened the front door to put out the milk bottles, nor that he would spend the next few weeks being prodded and pinched by his cousin Dudley....He couldn’t know that at this very moment, people meeting in secret all over the country were holding up their glasses and saying in hushed voices: “To Harry Potter — the boy who lived!”HP 1 Harry Potter and the Sorcerer's StoneCHAPTER TWOTHE VANISHING GLASSN early ten years had passed since the Dursleys had woken up to find their nephew on the front step, but Privet Drive had hardly changed at all.	{'v be asleep\nv be able to accommodate for sleeping', 'sleep的过去式和过去分词', 'slept'}
scream	Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.None of them noticed a large, tawny owl flutter past the window.At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley goodbye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.“Little tyke,” chortled Mr. Dursley as he left the house.	{'n. sharp piercing cry\nv. make a loud, piercing sound', 'scream', 'skri:m', 'n. 尖叫声\nvi. 尖叫, 大笑, 尖啸, 令人震惊\nvt. 尖叫着说, 大叫大嚷着要求'}
pinched	One small hand closed on the letter beside him and he slept on, not knowing he was special, not knowing he was famous, not knowing he would be woken in a few hours’ time by Mrs. Dursley’s scream as she opened the front door to put out the milk bottles, nor that he would spend the next few weeks being prodded and pinched by his cousin Dudley....He couldn’t know that at this very moment, people meeting in secret all over the country were holding up their glasses and saying in hushed voices: “To Harry Potter — the boy who lived!”HP 1 Harry Potter and the Sorcerer's StoneCHAPTER TWOTHE VANISHING GLASSN early ten years had passed since the Dursleys had woken up to find their nephew on the front step, but Privet Drive had hardly changed at all.	"{'s. as if squeezed uncomfortably tight', 'pinched', 'a. 消瘦的, 疲倦的', ""'pintʃt""}"
cousin	One small hand closed on the letter beside him and he slept on, not knowing he was special, not knowing he was famous, not knowing he would be woken in a few hours’ time by Mrs. Dursley’s scream as she opened the front door to put out the milk bottles, nor that he would spend the next few weeks being prodded and pinched by his cousin Dudley....He couldn’t know that at this very moment, people meeting in secret all over the country were holding up their glasses and saying in hushed voices: “To Harry Potter — the boy who lived!”HP 1 Harry Potter and the Sorcerer's StoneCHAPTER TWOTHE VANISHING GLASSN early ten years had passed since the Dursleys had woken up to find their nephew on the front step, but Privet Drive had hardly changed at all.	"{""'kʌzәn"", 'n. 堂兄弟姊妹, 表兄弟姊妹\n[法] 同辈表亲或堂亲', 'n. the child of your aunt or uncle', 'cousin'}"
fateful	The sun rose on the same tidy front gardens and lit up the brass number four on the Dursleys’ front door; it crept into their living room, which was almost exactly the same as it had been on the night when Mr. Dursley had seen that fateful news report about the owls.	"{'fateful', ""'feitful"", 'a. 宿命的, 重大的, 决定性的', 's. having momentous consequences; of decisive importance\ns. ominously prophetic'}"
mantelpiece	Only the photographs on the mantelpiece really showed how much time had passed.	"{""'mænt(ә)lpi:s"", 'n shelf that projects from wall above fireplace', 'mantelpiece', 'n. 壁炉台, 壁炉架'}"
shrill	His Aunt Petunia was awake and it was her shrill voice that made the first noise of the day.“Up!	{'s. having or emitting a high-pitched and sharp tone or tones\ns. of colors that are bright and gaudy', 'ʃril', 'shrill', 'n. 尖声\na. 尖锐的, 刺耳的\nvt. 尖声说出\nvi. 发出刺耳声'}
stove	Harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove.	{'n. a kitchen appliance used for cooking food\nn. any heating apparatus', 'stәuv', 'stove', 'n. 火炉, 窑\nvt. 用火炉烤\nstave的过去式和过去分词'}
cupboard	Harry was used to spiders, because the cupboard under the stairs was full of them, and that was where he slept.When he was dressed he went down the hall into the kitchen.	"{""'kʌpbɒ:d"", 'n. 食橱, 碗柜, 餐具柜', 'n. a small room (or recess) or cabinet used for storage space', 'cupboard'}"
punching	Exactly why Dudley wanted a racing bike was a mystery to Harry, as Dudley was very fat and hated exercise — unless of course it involved punching somebody.	{'', 'v deliver a quick blow to\nv drive forcibly as if by a punch\nv make a hole into or between, as for ease of separation', 'punching', '[计] 穿孔\n[化] 冲孔'}
skinny	Harry didn’t look it, but he was very fast.Perhaps it had something to do with living in a dark cupboard, but Harry had always been small and skinny for his age.	"{'n. confidential information about a topic or person\na. of or relating to or resembling skin', ""'skini"", 'a. 似皮的, 极瘦的, 少的, 小气的\n[医] 皮的; 消瘦的', 'skinny'}"
knobbly	Harry had a thin face, knobbly knees, black hair, and bright green eyes.	"{'knobbly', ""'nɔbli"", 'a. 有球形突出物的, 有小圆块的, 多疙瘩的, 有节的, 有小节的', 's having knobs'}"
wore	He wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched him on the nose.	"{'wɒ:', 'wore', 'wear的过去式和过去分词', ""v be dressed in\nv have on one's person\nv have in one's aspect; wear an expression of one's attitude or personality\nv deteriorate through use or stress\nv have or show an appearance of\nv last and be usable\nv go to pieces\nv exhaust or get tired through overuse or great strain or stress\nv put clothing on one's body""}"
Scotch	He wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched him on the nose.	{'n. whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still\nv. make a small cut or score into', 'skɔtʃ', 'Scotch', 'n. 苏格兰人, 苏格兰语, 刻痕\na. 苏格兰人的, 苏格兰语的\nvt. 刻痕于, 伤害, 镇压, 妨碍'}
haircut	“And don’t ask questions.”Don’t ask questions — that was the first rule for a quiet life with the Dursleys.Uncle Vernon entered the kitchen as Harry was turning over the bacon.“Comb your hair!” he barked, by way of a morning greeting.About once a week, Uncle Vernon looked over the top of his newspaper and shouted that Harry needed a haircut.	"{'haircut', ""'hєәkʌt"", 'n. the style in which hair has been cut\nn. the act of cutting the hair', 'n. 理发, (男子的)发式'}"
watery	He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head.	"{'s. filled with water\ns. relating to or resembling or consisting of water\ns. overly diluted; thin and insipid', ""'wɒ:tәri"", 'a. 水的, 湿的, 平淡的, 稀薄的, 水淋淋的', 'watery'}"
smoothly	He had a large pink face, not much neck, small, watery blue eyes, and thick blond hair that lay smoothly on his thick, fat head.	"{'adv. 平滑地, 流畅地, 流利地', ""'smu:ðli"", 'r. with no problems or difficulties\nr. in a smooth and diplomatic manner', 'smoothly'}"
scented	Harry, who could see a huge Dudley tantrum coming on, began wolfing down his bacon as fast as possible in case Dudley turned the table over.Aunt Petunia obviously scented danger, too, because she said quickly, “And we’ll buy you another two presents while we’re out today.	"{'a. having the sense of smell\ns. (used in combination) having the odor of', ""'sentid"", 'a. 有香味的, 洒了香水的, 有嗅觉的', 'scented'}"
poppin	[]	{'', 'poppin', 'n. 机械舞（街舞的一种）'}
Atta	’Atta boy, Dudley!” He ruffled Dudley’s hair.At that moment the telephone rang and Aunt Petunia went to answer it while Harry and Uncle Vernon watched Dudley unwrap the racing bike, a video camera, a remote control airplane, sixteen new computer games, and a VCR.	{'', 'abbr. 泰国旅行社协会（Association Of Thai Travel Agents）', 'atta'}
rang	They were the last people you’d expect to be involved in anything strange or mysterious, because they just didn’t hold with such nonsense.Mr.	{'ring的过去式', 'ræŋ', 'rang', 'v sound loudly and sonorously\nv ring or echo with sound\nv make (bells) ring, often for the purposes of musical edification\nv get or try to get into communication (with someone) by telephone\nv extend on all sides of simultaneously; encircle\nv attach a ring to the foot of, in order to identify'}
sixteen	’Atta boy, Dudley!” He ruffled Dudley’s hair.At that moment the telephone rang and Aunt Petunia went to answer it while Harry and Uncle Vernon watched Dudley unwrap the racing bike, a video camera, a remote control airplane, sixteen new computer games, and a VCR.	"{""'siks'ti:n"", 'sixteen', 'num. 十六, 十六个', 'n. the cardinal number that is the sum of fifteen and one\ns. being one more than fifteen'}"
ripping	He was ripping the paper off a gold wristwatch when Aunt Petunia came back from the telephone looking both angry and worried.“Bad news, Vernon,” she said.	"{'ripping', 'v tear or be torn violently\nv move precipitously or violently\nv cut (wood) along the grain\nv criticize or abuse strongly and violently\ns resembling a sound of violent tearing as of something ripped apart or lightning splitting a tree', 'a. 撕的, 绝妙的\nadv. 极, 非常', ""'ripiŋ""}"
leap	She can’t take him.” She jerked her head in Harry’s direction.Dudley’s mouth fell open in horror, but Harry’s heart gave a leap.	{'leap', 'n. a light, self-propelled movement upwards or forwards\nn. an abrupt transition\nn. the distance leaped (or to be leaped)\nv. pass abruptly from one state or topic to another', 'li:p', 'n. 跳跃, 剧增, 急变, 被越过之物\nvi. 跳跃, 突然经过\nvt. 跃过, 使跃过'}
hamburger	Every year on Dudley’s birthday, his parents took him and a friend out for the day, to adventure parks, hamburger restaurants, or the movies.	"{'n. 汉堡(德国港口), 肉饼, 汉堡包, 纯精牛肉, 汉堡牛排', 'hamburger', 'n. a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients', ""'hæmbә:gә""}"
smelled	The whole house smelled of cabbage and Mrs. Figg made him look at photographs of all the cats she’d ever owned.“Now what?” said Aunt Petunia, looking furiously at Harry as though he’d planned this.	{'', 'smelled', 'v inhale the odor of; perceive by the olfactory sense\nv emit an odor\nv smell bad\nv have an element suggestive (of something)\nv become aware of not through the senses but instinctively', 'smell的过去式和过去分词'}
cabbage	The whole house smelled of cabbage and Mrs. Figg made him look at photographs of all the cats she’d ever owned.“Now what?” said Aunt Petunia, looking furiously at Harry as though he’d planned this.	"{""'kæbidʒ"", 'n. 卷心菜\n[医] 卷心菜, 甘兰', 'cabbage', 'n. any of various types of cabbage\nn. any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers'}"
slug	Harry knew he ought to feel sorry that Mrs. Figg had broken her leg, but it wasn’t easy when he reminded himself it would be a whole year before he had to look at Tibbles, Snowy, Mr. Paws, and Tufty again.“We could phone Marge,” Uncle Vernon suggested.“Don’t be silly, Vernon, she hates the boy.”The Dursleys often spoke about Harry like this, as though he wasn’t there — or rather, as though he was something very nasty that couldn’t understand them, like a slug.“What about what’shername, your friend — Yvonne?”“On vacation in Majorca,” snapped Aunt Petunia.“You could just leave me here,” Harry put in hopefully (he’d be able to watch what he wanted on television for a change and maybe even have a go on Dudley’s computer).Aunt Petunia looked as though she’d just swallowed a lemon.“And come back and find the house in ruins?” she snarled.“I won’t blow up the house,” said Harry, but they weren’t listening.“I suppose we could take him to the zoo,” said Aunt Petunia slowly, “…and leave him in the car.…”“That car’s new, he’s not sitting in it alone.…”Dudley began to cry loudly.	{'slug', 'slʌg', 'n. 鼻涕虫, 刺蛾, 懒汉, 弹丸, 金属小块, 重击\nvi. 偷懒, 动作迟缓\nvt. 重击', 'n. a unit of mass equal to the mass that accelerates at 1 foot/sec/sec when acted upon by a force of 1 pound; approximately 14.5939 kilograms\nn. a counterfeit coin\nn. an amount of an alcoholic drink (usually liquor) that is poured or gulped\nn. any of various terrestrial gastropods having an elongated slimy body and no external shell'}
loudly	He was sure it was the same one; it had the same markings around its eyes.“Shoo!” said Mr. Dursley loudly.The cat didn’t move.	"{'r. with relatively high volume', ""'laudli"", 'loudly', 'adv. 高声地, 大声地, 吵闹地'}"
screwed	In fact, he wasn’t really crying — it had been years since he’d really cried — but he knew that if he screwed up his face and wailed, his mother would give him anything he wanted.“Dinky Duddydums, don’t cry, Mummy won’t let him spoil your special day!” she cried, flinging her arms around him.“I…don’t…want…him…ttto come!” Dudley yelled between huge, pretend sobs.	{'skru:d', 'screwed', 'a. 以螺丝拧紧的, 螺丝状的, 喝醉了的', 'v have sexual intercourse with\nv turn like a screw\nv cause to penetrate, as with a circular motion\nv tighten or fasten by means of screwing motions\nv defeat someone through trickery or deceit'}
spoil	In fact, he wasn’t really crying — it had been years since he’d really cried — but he knew that if he screwed up his face and wailed, his mother would give him anything he wanted.“Dinky Duddydums, don’t cry, Mummy won’t let him spoil your special day!” she cried, flinging her arms around him.“I…don’t…want…him…ttto come!” Dudley yelled between huge, pretend sobs.	{'spoil', 'spɒil', 'n. 战利品, 赃物, 奖品, 变质, 次品\nvt. 损坏, 破坏, 溺爱\nvi. 腐坏, 掠夺', 'n. (usually plural) valuables taken by violence (especially in war)\nn. the act of spoiling something by causing damage to it\nn. the act of stripping and taking by force\nv. become unfit for consumption or use'}
doorbell	“He always spspoils everything!” He shot Harry a nasty grin through the gap in his mother’s arms.Just then, the doorbell rang — “Oh, good Lord, they’re here!” said Aunt Petunia frantically — and a moment later, Dudley’s best friend, Piers Polkiss, walked in with his mother.	"{'doorbell', ""'dɒ:bel"", 'n. a push button at an outer door that gives a ringing or buzzing signal when pushed', 'n. 门铃'}"
Lord	“He always spspoils everything!” He shot Harry a nasty grin through the gap in his mother’s arms.Just then, the doorbell rang — “Oh, good Lord, they’re here!” said Aunt Petunia frantically — and a moment later, Dudley’s best friend, Piers Polkiss, walked in with his mother.	{'n. a titled peer of the realm\nv. make a lord of someone', 'n. 统治者, 阁下, 上帝\nvi. 称王, 作威作福\nvt. 使成贵族', 'lɒ:d', 'lord'}
frantically	“He always spspoils everything!” He shot Harry a nasty grin through the gap in his mother’s arms.Just then, the doorbell rang — “Oh, good Lord, they’re here!” said Aunt Petunia frantically — and a moment later, Dudley’s best friend, Piers Polkiss, walked in with his mother.	"{'r in an uncontrolled manner', 'adv. 狂暴地, 疯狂似地', 'frantically', ""'fræntikli""}"
scrawny	Piers was a scrawny boy with a face like a rat.	"{'a. 瘦的, 骨瘦如柴的', 's. inferior in size or quality', ""'skrɒ:ni"", 'scrawny'}"
honestly	His aunt and uncle hadn’t been able to think of anything else to do with him, but before they’d left, Uncle Vernon had taken Harry aside.“I’m warning you,” he had said, putting his large purple face right up close to Harry’s, “I’m warning you now, boy — any funny business, anything at all — and you’ll be in that cupboard from now until Christmas.”“I’m not going to do anything,” said Harry, “honestly…”But Uncle Vernon didn’t believe him.	"{'honestly', ""'ɒnistli"", 'adv. 真诚地, 公正地', ""r. (used as intensives reflecting the speaker's attitude) it is sincerely the case that\nr. in an honest manner""}"
scissors	No one ever did.The problem was, strange things often happened around Harry and it was just no good telling the Dursleys he didn’t make them happen.Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn’t been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs, which she left “to hide that horrible scar.” Dudley had laughed himself silly at Harry, who spent a sleepless night imagining school the next day, where he was already laughed at for his baggy clothes and taped glasses.	"{'n. an edge tool having two crossed pivoting blades\nn. a wrestling hold in which you wrap your legs around the opponents body or head and put your feet together and squeeze\nn. a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move', 'pl. 剪刀\n[医] 剪', 'scissors', ""'sizәz""}"
scare	No one does.”“Why not?”“Gulpin’ gargoyles, Harry, people are still scared.	{'n. a sudden attack of fear', 'n. 惊吓, 恐慌\nvt. 惊吓, 使恐慌\nvi. 受惊', 'scare', 'skєә'}
sleepless	No one ever did.The problem was, strange things often happened around Harry and it was just no good telling the Dursleys he didn’t make them happen.Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn’t been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs, which she left “to hide that horrible scar.” Dudley had laughed himself silly at Harry, who spent a sleepless night imagining school the next day, where he was already laughed at for his baggy clothes and taped glasses.	"{""'sli:plis"", 's experiencing or accompanied by sleeplessness\ns always watchful', 'sleepless', 'a. 不睡眠的, 睡不着的, 不休息的'}"
baggy	No one ever did.The problem was, strange things often happened around Harry and it was just no good telling the Dursleys he didn’t make them happen.Once, Aunt Petunia, tired of Harry coming back from the barbers looking as though he hadn’t been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs, which she left “to hide that horrible scar.” Dudley had laughed himself silly at Harry, who spent a sleepless night imagining school the next day, where he was already laughed at for his baggy clothes and taped glasses.	"{'a. 袋状的, 松垂的', 'baggy', ""'bægi"", 's. not fitting closely; hanging loosely'}"
